run_id,config,scenario,iter,variant,tp,fp,fn,tn,precision,recall,f1,fpr,n_windows,n_flagged,n_events
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,iforest_multi,0,11,0,40,0.0,0.0,0.0,0.2157,51,11,0
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,iforest_latency,0,11,0,40,0.0,0.0,0.0,0.2157,51,11,0
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,iforest_availability,0,0,0,51,0.0,0.0,0.0,0.0,51,0,0
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,iforest_integrity,0,0,0,51,0.0,0.0,0.0,0.0,51,0,0
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,iforest_malformed,0,0,0,51,0.0,0.0,0.0,0.0,51,0,0
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,lof_multi,0,0,0,51,0.0,0.0,0.0,0.0,51,0,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,iforest_multi,0,15,0,35,0.0,0.0,0.0,0.3,50,15,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,iforest_latency,0,13,0,37,0.0,0.0,0.0,0.26,50,13,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,iforest_availability,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,iforest_integrity,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,iforest_malformed,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,lof_multi,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,iforest_multi,0,14,0,36,0.0,0.0,0.0,0.28,50,14,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,iforest_latency,0,14,0,36,0.0,0.0,0.0,0.28,50,14,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,iforest_availability,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,iforest_integrity,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,iforest_malformed,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,lof_multi,0,0,0,50,0.0,0.0,0.0,0.0,50,0,0
2026-05-18T160740-single-plc-baseline-i4,single-plc,baseline,4,iforest_multi,0,8,0,43,0.0,0.0,0.0,0.1569,51,8,0
2026-05-18T160740-single-plc-baseline-i4,single-plc,baseline,4,iforest_latency,0,8,0,43,0.0,0.0,0.0,0.1569,51,8,0
