scenario,variant,n,f1_mean,f1_std,precision_mean,recall_mean,fpr_mean
baseline,iforest_availability,10,0.0,0.0,0.0,0.0,0.0
baseline,iforest_integrity,10,0.0,0.0,0.0,0.0,0.0
baseline,iforest_latency,10,0.0,0.0,0.0,0.0,0.3295
baseline,iforest_malformed,10,0.0,0.0,0.0,0.0,0.0
baseline,iforest_multi,10,0.0,0.0,0.0,0.0,0.3275
baseline,lof_multi,10,0.0,0.0,0.0,0.0,0.0
malformed,iforest_availability,10,0.0,0.0,0.0,0.0,0.0
malformed,iforest_integrity,10,0.7219,0.2485,0.7369,0.7156,0.2104
malformed,iforest_latency,10,0.4836,0.1177,0.79,0.3594,0.0795
malformed,iforest_malformed,10,0.0,0.0,0.0,0.0,0.0
malformed,iforest_multi,10,0.7931,0.0968,0.8013,0.8,0.2652
malformed,lof_multi,10,0.6596,0.1506,0.8527,0.5844,0.1458
mutate,iforest_availability,10,0.0,0.0,0.0,0.0,0.0
mutate,iforest_integrity,10,0.0,0.0,0.0,0.0,0.0
mutate,iforest_latency,10,0.3033,0.3192,0.35,0.3,0.063
mutate,iforest_malformed,10,0.0,0.0,0.0,0.0,0.0
mutate,iforest_multi,10,0.3033,0.3192,0.35,0.3,0.0512
mutate,lof_multi,10,0.0,0.0,0.0,0.0,0.0
replay,iforest_availability,10,0.0,0.0,0.0,0.0,0.0
replay,iforest_integrity,10,0.2222,0.0,0.5,0.1429,0.0306
replay,iforest_latency,10,0.1939,0.0695,0.1888,0.2143,0.2085
replay,iforest_malformed,10,0.0,0.0,0.0,0.0,0.0
replay,iforest_multi,10,0.2543,0.0287,0.2343,0.2857,0.2178
replay,lof_multi,10,0.2305,0.0127,0.65,0.1429,0.0212
