scenario,split,n_train,n_test,tp,fp,fn,tn,precision,recall,f1,fpr
baseline,0,7,7,0,74,0,178,0.0,0.0,0.0,0.2937
baseline,1,7,7,0,79,0,223,0.0,0.0,0.0,0.2616
baseline,2,7,7,0,55,0,196,0.0,0.0,0.0,0.2191
baseline,3,7,7,0,67,0,286,0.0,0.0,0.0,0.1898
baseline,4,7,7,0,79,0,222,0.0,0.0,0.0,0.2625
malformed,0,7,3,81,16,15,53,0.8351,0.8438,0.8394,0.2319
malformed,1,7,3,77,19,19,56,0.8021,0.8021,0.8021,0.2533
malformed,2,7,3,84,20,12,47,0.8077,0.875,0.84,0.2985
malformed,3,7,3,82,21,14,50,0.7961,0.8542,0.8241,0.2958
malformed,4,7,3,82,19,14,51,0.8119,0.8542,0.8325,0.2714
mutate,0,7,3,1,4,5,46,0.2,0.1667,0.1818,0.08
mutate,1,7,3,0,2,6,47,0.0,0.0,0.0,0.0408
mutate,2,7,3,0,4,6,45,0.0,0.0,0.0,0.0816
mutate,3,7,3,0,3,6,46,0.0,0.0,0.0,0.0612
mutate,4,7,3,0,0,6,50,0.0,0.0,0.0,0.0
replay,0,7,4,3,18,18,80,0.1429,0.1429,0.1429,0.1837
replay,1,7,4,5,23,23,107,0.1786,0.1786,0.1786,0.1769
replay,2,7,4,4,15,17,82,0.2105,0.1905,0.2,0.1546
replay,3,7,4,7,22,21,105,0.2414,0.25,0.2456,0.1732
replay,4,7,4,7,34,21,95,0.1707,0.25,0.2029,0.2636
