run_id,config,scenario,iter,uptime_pct,restarts_during_run,rms_deviation,max_abs_deviation,alarms_triggered,safety_tripped,unsafe,total_pdus,malformed_pdus,unknown_fc,exceptions,tp,fp,fn,tn,precision,recall,f1,fpr,events_count,anomalies_flagged_count,n_dumps
2026-05-18T155353-single-plc-baseline-i1,single-plc,baseline,1,100.0,0,147.0,147,0,False,False,10404,0,0,0,,,,,,,,,0,11,51
2026-05-18T155830-single-plc-baseline-i2,single-plc,baseline,2,100.0,0,147.0,147,0,False,False,10508,0,0,0,,,,,,,,,0,15,50
2026-05-18T160305-single-plc-baseline-i3,single-plc,baseline,3,100.0,0,147.0,147,0,False,False,10440,0,0,0,,,,,,,,,0,14,50
2026-05-18T160740-single-plc-baseline-i4,single-plc,baseline,4,100.0,0,147.0,147,0,False,False,10520,0,0,0,,,,,,,,,0,8,51
2026-05-18T161216-single-plc-baseline-i5,single-plc,baseline,5,100.0,0,147.0,147,0,False,False,10492,0,0,0,,,,,,,,,0,9,50
2026-05-18T161652-single-plc-baseline-i6,single-plc,baseline,6,100.0,0,147.0,147,0,False,False,10488,0,0,0,,,,,,,,,0,28,50
2026-05-18T162126-single-plc-baseline-i7,single-plc,baseline,7,100.0,0,147.0,147,0,False,False,10448,0,0,0,,,,,,,,,0,15,50
2026-05-18T162603-single-plc-baseline-i8,single-plc,baseline,8,100.0,0,147.0,147,0,False,False,10388,0,0,0,,,,,,,,,0,19,50
2026-05-18T163037-single-plc-baseline-i9,single-plc,baseline,9,100.0,0,147.0,147,0,False,False,10464,0,0,0,,,,,,,,,0,34,51
2026-05-18T163513-single-plc-baseline-i10,single-plc,baseline,10,100.0,0,147.0,147,0,False,False,10420,0,0,0,,,,,,,,,0,12,51
2026-05-18T163950-single-plc-malformed-i1,single-plc,malformed,1,100.0,0,44629.797,65535,0,False,True,10501,13,28,14,13,4,19,33,0.7647,0.4062,0.5306,0.1081,32,17,50
2026-05-18T164432-single-plc-malformed-i2,single-plc,malformed,2,100.0,0,49443.009,65535,8,False,True,10652,20,18,9,29,9,3,12,0.7632,0.9062,0.8286,0.4286,32,38,50
2026-05-18T164910-single-plc-malformed-i3,single-plc,malformed,3,100.0,0,42746.084,65535,18,False,True,10570,16,22,11,27,7,5,17,0.7941,0.8438,0.8182,0.2917,32,34,51
2026-05-18T165352-single-plc-malformed-i4,single-plc,malformed,4,100.0,0,49636.429,65535,7,False,True,10531,25,10,5,30,7,2,14,0.8108,0.9375,0.8696,0.3333,32,37,51
2026-05-18T165832-single-plc-malformed-i5,single-plc,malformed,5,100.0,0,33412.842,65535,17,False,True,10560,18,16,8,25,6,7,20,0.8065,0.7812,0.7937,0.2308,32,31,51
2026-05-18T170315-single-plc-malformed-i6,single-plc,malformed,6,100.0,0,40655.884,65535,3,False,True,10467,23,12,6,25,7,7,19,0.7812,0.7812,0.7812,0.2692,32,32,51
2026-05-18T170757-single-plc-malformed-i7,single-plc,malformed,7,100.0,0,36329.906,65535,16,False,True,10583,19,12,6,24,7,8,19,0.7742,0.75,0.7619,0.2692,32,31,50
2026-05-18T171237-single-plc-malformed-i8,single-plc,malformed,8,100.0,0,33697.129,65535,3,False,True,10612,14,24,12,24,4,8,22,0.8571,0.75,0.8,0.1538,32,28,50
2026-05-18T171719-single-plc-malformed-i9,single-plc,malformed,9,100.0,0,40763.733,65535,7,False,True,10676,24,12,6,28,7,4,16,0.8,0.875,0.8358,0.3043,32,35,51
2026-05-18T172202-single-plc-malformed-i10,single-plc,malformed,10,100.0,0,44013.956,65535,16,False,True,10661,17,14,7,31,5,1,14,0.8611,0.9688,0.9118,0.2632,32,36,50
